popSize ,eliteSize ,mutationRate ,generations ,finalDistance      ,finalStress        ,params
     50 ,       10 ,        0.01 ,        100 ,1192.4977613556994 ,5387.6             ,50_10_0.01_100
     50 ,       10 ,        0.01 ,        200 ,1021.4761626184992 ,6445.8             ,50_10_0.01_200
     50 ,       10 ,        0.01 ,        500 , 927.4228001632634 ,6231.8             ,50_10_0.01_500
     50 ,       10 ,        0.05 ,        100 ,1900.4513796711117 ,7578.200000000001  ,50_10_0.05_100
     50 ,       10 ,        0.05 ,        200 ,1939.0486267705692 ,7276.200000000001  ,50_10_0.05_200
     50 ,       10 ,        0.05 ,        500 ,1906.3960649221674 ,6303.2             ,50_10_0.05_500
     50 ,       10 ,        0.1  ,        100 ,2167.099993367619  ,6886.0             ,50_10_0.1_100
     50 ,       10 ,        0.1  ,        200 ,2104.441958953043  ,7528.0             ,50_10_0.1_200
     50 ,       10 ,        0.1  ,        500 ,2079.8077030088075 ,5520.599999999999  ,50_10_0.1_500
     50 ,       20 ,        0.01 ,        100 ,1205.3582605069846 ,6261.4             ,50_20_0.01_100
     50 ,       20 ,        0.01 ,        200 ,1054.0963586532853 ,6236.8             ,50_20_0.01_200
     50 ,       20 ,        0.01 ,        500 , 904.1547477144662 ,6396.8             ,50_20_0.01_500
     50 ,       20 ,        0.05 ,        100 ,2093.8743985542956 ,6300.199999999999  ,50_20_0.05_100
     50 ,       20 ,        0.05 ,        200 ,2008.9797795471507 ,6494.4             ,50_20_0.05_200
     50 ,       20 ,        0.05 ,        500 ,1975.9991664934062 ,8230.599999999999  ,50_20_0.05_500
     50 ,       20 ,        0.1  ,        100 ,2103.404493621479  ,6324.0             ,50_20_0.1_100
     50 ,       20 ,        0.1  ,        200 ,2235.194395806693  ,7174.8             ,50_20_0.1_200
     50 ,       20 ,        0.1  ,        500 ,2114.990897149486  ,7194.2             ,50_20_0.1_500
     50 ,       30 ,        0.01 ,        100 ,1425.7958837423976 ,6868.6             ,50_30_0.01_100
     50 ,       30 ,        0.01 ,        200 ,1208.0398800443018 ,6281.0             ,50_30_0.01_200
     50 ,       30 ,        0.01 ,        500 ,1022.1478618313967 ,5889.0             ,50_30_0.01_500
     50 ,       30 ,        0.05 ,        100 ,1994.1725824373384 ,6396.0             ,50_30_0.05_100
     50 ,       30 ,        0.05 ,        200 ,1849.999875751516  ,7144.999999999998  ,50_30_0.05_200
     50 ,       30 ,        0.05 ,        500 ,1912.752781016758  ,4896.599999999999  ,50_30_0.05_500
     50 ,       30 ,        0.1  ,        100 ,2285.8128112488303 ,6766.6             ,50_30_0.1_100
     50 ,       30 ,        0.1  ,        200 ,2186.6584299065257 ,6821.4             ,50_30_0.1_200
     50 ,       30 ,        0.1  ,        500 ,2201.7514658135797 ,6216.4             ,50_30_0.1_500
     50 ,       10 ,        0.01 ,        100 ,1192.4977613556994 ,5387.6             ,50_10_0.01_100
     50 ,       10 ,        0.01 ,        200 ,1021.4761626184992 ,6445.8             ,50_10_0.01_200
     50 ,       10 ,        0.01 ,        500 , 927.4228001632634 ,6231.8             ,50_10_0.01_500
     50 ,       10 ,        0.05 ,        100 ,1900.4513796711117 ,7578.200000000001  ,50_10_0.05_100
     50 ,       10 ,        0.05 ,        200 ,1939.0486267705692 ,7276.200000000001  ,50_10_0.05_200
