popSize ,eliteSize ,mutationRate ,generations ,finalDistance      ,finalStress        ,params
     50 ,       10 ,        0.01 ,        100 ,1865.3592357247908 ,3034.6             ,50_10_0.01_100
     50 ,       10 ,        0.01 ,        200 ,1129.0645117111937 ,5545.0             ,50_10_0.01_200
     50 ,       10 ,        0.01 ,        500 ,1323.3101207236298 ,3417.2             ,50_10_0.01_500
     50 ,       10 ,        0.02 ,        100 ,1182.6540761900017 ,6076.8             ,50_10_0.02_100
     50 ,       10 ,        0.02 ,        200 ,1408.6184683675544 ,3510.0             ,50_10_0.02_200
     50 ,       10 ,        0.02 ,        500 ,1117.9245580000968 ,4433.8             ,50_10_0.02_500
     50 ,       10 ,        0.05 ,        100 ,1291.5890220100125 ,5598.4             ,50_10_0.05_100
     50 ,       10 ,        0.05 ,        200 ,1200.729442734725  ,5030.599999999999  ,50_10_0.05_200
     50 ,       10 ,        0.05 ,        500 ,1174.3920275401078 ,4849.200000000001  ,50_10_0.05_500
     50 ,       10 ,        0.1  ,        100 ,2259.7793807464095 ,3207.6             ,50_10_0.1_100
     50 ,       10 ,        0.1  ,        200 ,2605.571123882671  ,2932.3999999999996 ,50_10_0.1_200
     50 ,       10 ,        0.1  ,        500 ,2574.1339895046285 ,2901.6             ,50_10_0.1_500
     50 ,       20 ,        0.01 ,        100 ,1441.2694253228772 ,3906.7999999999997 ,50_20_0.01_100
     50 ,       20 ,        0.01 ,        200 ,1273.2385095608458 ,5675.799999999999  ,50_20_0.01_200
     50 ,       20 ,        0.01 ,        500 ,2181.235994553484  ,2850.4             ,50_20_0.01_500
     50 ,       20 ,        0.02 ,        100 ,1263.764577227933  ,4474.599999999999  ,50_20_0.02_100
     50 ,       20 ,        0.02 ,        200 ,2074.599544024442  ,3063.6             ,50_20_0.02_200
     50 ,       20 ,        0.02 ,        500 ,1084.880716343274  ,4372.0             ,50_20_0.02_500
     50 ,       20 ,        0.05 ,        100 ,2244.2838587232    ,2919.4             ,50_20_0.05_100
     50 ,       20 ,        0.05 ,        200 ,2477.284888817307  ,2972.2000000000003 ,50_20_0.05_200
     50 ,       20 ,        0.05 ,        500 ,1147.7038316208073 ,4059.8000000000006 ,50_20_0.05_500
     50 ,       20 ,        0.1  ,        100 ,2317.347947083638  ,3416.0             ,50_20_0.1_100
     50 ,       20 ,        0.1  ,        200 ,1789.288488762613  ,3369.6000000000004 ,50_20_0.1_200
     50 ,       20 ,        0.1  ,        500 ,1179.0865701903263 ,5416.0             ,50_20_0.1_500
     50 ,       30 ,        0.01 ,        100 ,1243.616034655023  ,4983.4             ,50_30_0.01_100
     50 ,       30 ,        0.01 ,        200 ,1210.2262961849847 ,6219.6             ,50_30_0.01_200
     50 ,       30 ,        0.01 ,        500 ,1065.3465461674814 ,5358.4             ,50_30_0.01_500
     50 ,       30 ,        0.02 ,        100 ,2153.1614686413814 ,3155.2             ,50_30_0.02_100
     50 ,       30 ,        0.02 ,        200 ,1219.4068508879454 ,3961.4             ,50_30_0.02_200
     50 ,       30 ,        0.02 ,        500 ,1102.1882705072512 ,5423.8             ,50_30_0.02_500
     50 ,       30 ,        0.05 ,        100 ,1627.5198067464316 ,3915.2             ,50_30_0.05_100
     50 ,       30 ,        0.05 ,        200 ,2377.988645878476  ,3029.6             ,50_30_0.05_200
     50 ,       30 ,        0.05 ,        500 ,1246.9302492617755 ,4942.8             ,50_30_0.05_500
     50 ,       30 ,        0.1  ,        100 ,1480.2432967684965 ,4368.4             ,50_30_0.1_100
     50 ,       30 ,        0.1  ,        200 ,2753.4794898078344 ,3384.8000000000006 ,50_30_0.1_200
     50 ,       30 ,        0.1  ,        500 ,1136.8643222392752 ,6545.0             ,50_30_0.1_500
    100 ,       10 ,        0.01 ,        100 ,1125.68671149758   ,5362.2             ,100_10_0.01_100
    100 ,       10 ,        0.01 ,        200 ,1876.067581422403  ,3056.2000000000003 ,100_10_0.01_200
